University_Name,College_Dep,Degree_Category,DS_or_BA,Year_Est,Full_Address,Long,Lat,State,Deg_Desc,URL
Southern Methodist University, College of Humanities and Sciences, M.S. in Applied Statistics and Data Analytics,DA,2012,"6425 Boaz St, Dallas, TX 75275-0221",-96.7954,32.77816,TX,"A Master of Science in Applied Statistics and Data Analytics (MASDA) degree from the Department of Statistical Science at SMU prepares you with the statistical foundation and critical thinking skills to tackle today’s problems and those that don’t even exist today. If you have a background that is strong in mathematics, this degree program can help you take the next step to advance into this new and highly sought-after field.",https://www.smu.edu/Dedman/Academics/Departments/Statistics/Graduate
Stevens Institute of Technology, Howe School of Technology Management, M.S. in Business Intelligence and Analytics,BA,2012,"Castle Point On Hudson, Hoboken, NJ 07030-5991",-74.0272077,40.74249043,NJ,"The Business Intelligence & Analytics master's program provides a blend of analytical and professional skills to help you become the kind of manager who challenges assumptions and uses data to make evidence-based decisions. At Stevens, you'll master new tools that will help you refine products, services and strategies while setting the pace for your company in markets undergoing constant, technology-driven change.

The curriculum covers the concepts at the forefront of the data revolution — machine learning, language processing, web mining, optimization and risk. Classes explore key business concepts while going beyond basics in R, SAS, Hadoop, Python and Spark. The program culminates in a capstone experience in which you'll work on a project, using real data, under the guidance of an industry mentor.",https://www.stevens.edu/school-business/masters-programs/business-intelligence-analytics
University of Connecticut, School of Business, M.S. in Business Analytics and Project Management,BA,2012,"352 Mansfield Rd. Unit 2048, Storrs, CT 06269-2048",-72.24947939,41.80824783,CT,"The MS in Business Analytics and Project Management (MSBAPM) is a top ranked, leading Master of Science program that teaches the skills that reach far beyond solving key business issues, it also provides students with the skills needed to become a leader in the industry. The 37-credit degree program allows students to establish and improve their skills in hands-on course work and transformative experiential learning through internships, data challenges, and consulting projects",https://msbapm.business.uconn.edu/#
University of Michigan at Dearborn, College of Business, M.S. in Business Analytics,BA,2012,"4901 Evergreen Rd, Dearborn, MI 48128-1491",-83.22732487,42.31333447,MI,The Master of Science-Business Analytics trains students to create business strategies using data and statistics.,https://umdearborn.edu/cob/graduate-programs/degree-programs/ms-business-analytics
University of San Francisco, College of Arts and Sciences, M.S. in Data Science (Formerly the M.S. in Analytics; renamed in 2018.),DS,2012,"2130 Fulton St, San Francisco, CA 94117-1080",-122.4509599,37.7752604,CA,"USF’s one-year Master of Science in Data Science (MSDS) program delivers a rigorous curriculum focused on mathematical and computational techniques in the emerging field of data science. The curriculum emphasizes the careful formulation of business problems, selecting effective analytical techniques to address those problems, and communicating solutions in a clear and creative fashion.",https://www.usfca.edu/arts-sciences/graduate-programs/data-science
Arizona State University, W.P. Carey School of Business, M.S. in Business Analytics,BA,2013,"P.O. Box 877705, Tempe, AZ 85287",-111.9281,33.42663608,AZ,"Be on the forefront of Big Data with a W. P. Carey Master of Science in Business Analytics (MS-BA) degree. This explosion of Big Data impacts every part of the global economy, making business analytics specialists one of the fastest-growing careers in our economy. You'll learn to derive value from data and modeling, lead data-driven analyses, and create a critical business advantage.",https://wpcarey.asu.edu/masters-programs/business-analytics
Benedictine University, College of Business, M.S. in Business Analytics,BA,2013,"5700 College Road, Lisle, IL 60532",-88.09328085,41.78006391,IL,"The educational approach of the program emphasizes practical application of technical tools and management theories to a variety of hypothetical and real-life data problems. Students gain an appreciation for the complexity of challenges associated with business analytics through group interaction, comprehensive projects, case analysis, research, and active participation in the sharing of individual experiences. This variety of teaching methods prepares students to be leaders in the 21st century.",https://www.ben.edu/college-of-business/graduate/msba-master-of-science-in-business-analytics.cfm
Carnegie Mellon University, School of Computer Science," M.S. in Computational Data Science (Formerly the MSIT in Very Large Information Systems,  renamed in 2013.)",DS,2013,"5000 Forbes Ave, Pittsburgh, PA 15213-3890",-79.9433955,40.4446265,PA,The Master of Computational Data Science program equips you with the skills and knowledge you need to develop the layers of technology involved in the next generation of massive information system deployments and analyze the data those systems generate.,https://mcds.cs.cmu.edu/
City University of New York, School of Professional Studies, M.S. in Data Science (Formerly the M.S. in Data Analytics; renamed in 2018.),DS,2013,"160 Convent Avenue, New York, NY 10031-9101",-73.95012097,40.8193748,NY,"The program’s learning objectives and demanding, hands-on courses are designed around employer needs. Throughout their time in the program, students build portfolios of increasingly complex projects using popular programming languages such as R and Python, which mirror the current experience and demands of the IT workplace. Students build predictive and prescriptive models, practice giving presentations, and review each other’s work in a convenient online setting, ensuring that they are equipped with the expertise most valued in today’s marketplace. The MS in Data Science program culminates with a capstone project that represents highly sophisticated, but practical, solutions to address real world problems.",https://sps.cuny.edu/academics/graduate/master-science-data-science-ms
George Washington University, School of Business, M.S. in Business Analytics,BA,2013,"1800 35th St NW, Washington, DC 20007",-77.069601,38.914695,DC,"Initiated in 2013, the GW School of Business MS in Business Analytics (MSBA) program trains students to master real-world analytics and consulting skills for effective data-driven decision making. Since its inception, the program has worked with leading analytics organizations (including IBM and Deloitte) to develop, and continue to enhance, a rigorous and balanced curriculum that encompasses the technical, quantitative and qualitative skills for effectively developing, deploying and communicating business analytics solutions.

The curriculum is a distinctive blend of analytics methods (descriptive, predictive, and prescriptive), applications (elective courses in analytics applied to a specific functional area or industry), soft skills (consulting, communication and team dynamics), and technology (SAS tools, R, Python, SQL, no-SQL and other current and trending technologies). The culmination of the course of study is a practicum project in which students work within a team of peers to apply their newly acquired expertise to real-world business challenges sponsored by our partner industry organizations.",https://business.gwu.edu/academics/programs/specialized-masters/ms-business-analytics
Harrisburg University of Science and Technology, M.S. in Analytics,M.S. in Analytics,A,2013,"326 Market Street, Harrisburg, PA 17101",-76.87996167,40.26171734,PA,"Data analysts are forging new relationships in virtually every discipline: business, healthcare, geology, mathematics and statistics, biology, chemistry, computer science, information systems and technology, engineering, psychology, behavioral science, operations research, and more, in addition to potential interactions between these disciplines, using role-based interaction with information and analytics to enable highly- collaborative, data-driven organizations. The graduate of this program enters the workforce prepared for the complex, information-intensive world.",https://www.harrisburgu.edu/academics/graduate/analytics/
Illinois Institute of Technology, College of Science, Master of Data Science,DS,2013,"10 W. 35th Street, Chicago, IL 60616",-87.627222,41.83102548,IL,"Students in the Master of Data Science program dive deeply into the underlying premises of given problems, learn to reformulate the questions, and determine if the results make sense. They do this by exploring and improving the structure of the available data, creating and evaluating models, and by constructing and testing hypotheses. They learn how to analyze the data, visualize the results and equally important, how to articulate their discoveries. 

By combining high-level mathematics, statistics, and computer science skills with the ability to communicate results, data scientists make a complicated and dynamic world more comprehensible. 

Illinois Tech’s rigorous data science curriculum provides the knowledge, skills, and experience to expand your career opportunities. Whether in Chicago with its diverse economy and thriving tech community or across the globe, our data science alumni have bright futures in the data science profession.",https://www.iit.edu/academics/programs/data-science-mas
Michigan State University, Eli Broad College of Business, M.S. in Business Data Science and Analytics (Formerly the M.S. in Business Analytics; renamed in 2021.),DS,2013,"450 Administration Bldg., East Lansing, MI 48824-1046",-84.48061146,42.72975452,MI,"The main themes of the Data Science and Business Analytics program focus on business strategy, data tools and management, and experiential project consulting. Graduates from Broad’s M.S. in Business Data Science and Analytics program have landed employment opportunities in a wide range of industries, such as consulting, automotive, consumer products, retail and financial services. Forty percent of graduates enter the field as a data scientist, while 60% follow a more business analyst career track. This Master’s in Data Science and Business Analytics program is designed to give training and hands-on experience to students in multiple areas of the data science and analytics field such as descriptive, predictive and prescriptive analytics.",https://broad.msu.edu/masters/business-data-science-analytics/
New York University, Stern School of Business, M.S. in Business Analytics,BA,2013,"70 Washington Square South, New York, NY 10012-1091",-73.99698732,40.72972537,NY,"Business Analytics is the intersection of business and data science, offering new opportunities for a competitive advantage. Business analytics unlocks the predictive potential of data analysis to improve financial performance, strategic management, and operational efficiency.
Graduates of this program will be equipped to influence decision-making and strategy, and they will ultimately drive better business results by gaining the ability to transform data into a powerful and predictive strategic asset. Business Analytics is critical in preparing organizations to solve 21st-century business challenges and participants of this program will have exposure to innovative methodologies that support data-driven decision making.",https://www.stern.nyu.edu/programs-admissions/ms-business-analytics
New York University, Center for Data Science, M.S. in Data Science,DS,2013,"70 Washington Square South, New York, NY 10012-1091",-73.99698732,40.72972537,NY,"The Master of Science in Data Science is a highly-selective program for students with a strong background in mathematics, computer science, and applied statistics. The degree focuses on the development of new methods for data science.

We live in the “Age of the Petabyte,” soon to become “The Age of the Exabyte.” Our networked world is generating a deluge of data that no human, or group of humans, can process fast enough. This data deluge has the potential to transform the way business, government, science, and healthcare are carried out. But too few possess the skills needed to use automated analytical tools and cut through the noise to create knowledge from big data.",https://cds.nyu.edu/
Pace University, Lubin School of Business, M.S. in Customer Intelligence and Analytics,A,2013,"1 Pace Plaza, New York, NY 10038-1598",-74.00554134,40.71178474,NY,"Our MS in Marketing Analytics is a focused degree designed for those who want to expand their experience with fact-based decision-making and gain the skills necessary to build a career in the fast-paced and lucrative field of marketing analytics. Get trained in a specialized niche while making connections in the industry, leveraging New York City’s energy in order to build the career you’re meant for.",https://www.pace.edu/program/marketing-analytics-ms
Rensselaer Polytechnic Institute, Lally School of Management, M.S. in Business Analytics,BA,2013,"110 8th St, Troy, NY 12180-3590",-73.6832025,42.731199,NY,"The business analytics master's program combines foundational business concepts with data management and statistical modeling, which are customized with electives such as natural language processing, machine learning, marketing, and supply chain management. Students will learn to think critically about data by working with diverse data sets, powerful computing and visualization resources, and real-world applications. The master's experience at Lally also includes mentoring from a highly engaged advisory board of executives.",https://lallyschool.rpi.edu/graduate-programs/business-analytics
Southern New Hampshire University, Online College, M.S. in Data Analytics,DA,2013,"2500 N River Rd, Manchester, NH 03106",-71.45394768,43.03771181,NH,"SNHU’s Master of Science (MS) in Data Analytics takes a deep dive into the study of analyzing data, allowing you to hone one of the most coveted skill sets in today’s workforce. You’ll learn how to use advanced statistical techniques and tools in data and information management to collect and analyze large data sets. You'll also learn how to apply your computational, analytical and modeling skills to provide decision support to key stakeholders.",https://www.snhu.edu/online-degrees/masters/ms-in-data-analytics
Texas A&M University, College of Science, M.S. in Analytics,A,2013,"1246 TAMU, College Station, TX 77843",-96.3568091,30.62031,TX,"The Master of Science in Data Science degree is an on-campus interdisciplinary program offered by the Departments of Computer Science and Engineering, Electrical and Computer Engineering, Mathematics, and Statistics within the University’s Colleges of Engineering and Science, and administered jointly with the Texas A&M Institute of Data Science.

Each of the four academic departments offers a track in the program. Students will be admitted to an individual track which they will maintain for the duration of their study. The multidisciplinary curriculum (see below) provides students with a solid foundation in mathematics, statistics, computer science, and machine learning through core courses, after which students are able to chose from electives courses provided by the different participating departments.

The MS in Data Science program prepares a student for a variety of career options associated with data science; including consulting agencies, financial services firms, government agencies, healthcare and pharmaceutical companies, marketing services, private commercial corporations, and technology companies. ",https://tamids.tamu.edu/msds/
University of Maryland, University College, M.S. in Data Analytics,DA,2013,"2303 Van Munching Hall, College Park, Maryland 20742-1815",-76.9401857,38.9871185,MD,"The Master of Science in data analytics program at University of Maryland Global Campus is designed to meet the rising need for highly skilled professionals who can transform the growing amount of institutional data into valuable assets. You’ll gain hands-on experience with a variety of analytical tools and learn how to manage and manipulate data, create data visualizations, and make strategic data-driven recommendations to influence business outcomes. By using industry knowledge and contextual understanding and questioning existing assumptions, you’ll learn to uncover hidden solutions to business challenges, allowing your organization to build and sustain a long-term competitive advantage.",https://www.umgc.edu/academic-programs/masters-degrees/data-analytics.cfm
University of Texas at Austin, McCombs School of Business," M.S. in Business Analytics (Formerly the M.S. in Information, Risk,  and Operations Management; renamed in 2016.)",BA,2013,"110 Inner Campus Drive, Austin, TX 78712",-97.73926486,30.28660893,TX,"Graduates from the Master of Science in Business Analytics will be prepared to leverage statistical analysis, data mining, natural language processing, optimization, and machine learning to address business management issues in finance, marketing and supply chain management. Our graduates can extract business insights from structured and unstructured data and turn them into practical recommendations to improve business results.

McCombs' Master of Science in Business Analytics (MSBA) is a 10-month program that will show you how to harness vast amounts of data and use it to inform business decision-making. ",https://www.mccombs.utexas.edu/Master-of-Science-in-Business-Analytics
Washington University in St. Louis, Olin Business School, M.S. in Business Analytics (Formerly the M.S. in Customer Analytics; renamed in 2018.),BA,2013,"One Brookings Dr, Saint Louis, MO 63130",-90.310374,38.647719,MO,"The 18-month Master of Science in Business Analytics (MSA) program prepares graduates for today’s world of big data. By combining technical programming skills with a rigorous approach to business problem-solving, MSA students gain the tools and the confidence to extract strategic insights from vast storehouses of data. Across every industry, businesses are collecting data—from retail inventory records to hospital patient data to credit card transactions and more—and relying on skilled analysts to stay ahead of business trends, build forecasts and drive creative solutions to business problems.

WashU Olin’s specialized master’s in business analytics offers six STEM (science, technology, engineering and mathematics)-designated tracks focused on accounting analytics, customer analytics, financial technology analytics, healthcare analytics, supply chain analytics and talent analytics.",https://olin.wustl.edu/EN-US/academic-programs/specialized-masters-programs/ms-in-business-analytics/Pages/default.aspx
Bentley University, McCallum Graduate School of Business, M.S. in Business Analytics,BA,2014,"175 Forest St, Waltham, MA 02452-4705",-71.2212435,42.387408,MA,"Develop the skills top employers need, including advanced statistics, machine learning and data mining, programming and data management. Big data has become big business, and as the field grows so does the demand for qualified professionals with deep analytical experience.",https://www.bentley.edu/graduate
Bowling Green State University, Graduate College, M.S. in Analytics,A,2014,"1001 East Wooster Street, Bowling Green, OH 43403",-83.63755224,41.37466722,OH,"The MSA at BGSU is an interdisciplinary graduate program that involves four departments across two colleges.  BGSU already thrives on its strong and nationally recognized faculty, undergraduate and graduate programs in statistics, operations research, management of information systems and computer science. BGSU has embraced a long standing tradition of collaborations among faculty from these fields.  These strengths and traditions at BGSU put the university in a unique position to offer a high quality MS in Analytics degree.",https://www.bgsu.edu/graduate/analytics.html
Brandeis University, Division of Graduate Professional Studies, M.S. in Strategic Analytics,A,2014,"415 South St., MS 100, Waltham, MA 02453-2700",-71.26065,42.366465,MA,"Leading data analysts will demonstrate how to transform data into actionable insights that solve problems, improve decision making and tell powerful stories.

Explore the technology and techniques behind Big Data, machine learning, AI and other game changers as you learn to:

Detect patterns and trends in data.
Make accurate forecasts.
Interpret and communicate results to different stakeholders.
Identify problems data can solve in your organization.
Make persuasive cases backed by evidence.
You'll benefit from small classes with other working professionals from a wide variety of backgrounds, including business, professional sports, nonprofits, government, life sciences and manufacturing.",https://www.brandeis.edu/gps/academics/strategic-analytics/index.html
Columbia University, Institute for Data Science and Engineering, M.S. in Data Science,DS,2014,"535 West 116th Street, New York, NY 10027",-73.9624231,40.8074235,NY,"The M.S. in Data Science is for individuals looking to strengthen their career prospects or make a career change by developing expertise in data science.
Our students have the opportunity to conduct original research, included in a capstone project, and interact with our industry partners and faculty. Students may also choose an elective track focused on entrepreneurship or a subject area covered by one of our eight centers.",https://datascience.columbia.edu/
Creighton University, Heider College of Business, M.S. in Business Intelligence and Analytics,BA,2014,"2500 California Plaza, Omaha, NE 68178",-95.9476876,41.26482953,NE,"Master of Science in Business Intelligence and Analytics (MS-BIA) program centers around three central ideas: Managing data from a variety of sources, using analytical tools to gain insights from that data, and effectively communicating results to decision makers within your organization.",https://gradschool.creighton.edu/programs/masters-degrees/business/business-intelligence-analytics
Dakota State University, Graduate Office, M.S. in Analytics,A,2014,"820 N. Washington Ave., Madison, SD 57042-1799",-97.10970533,44.01259753,SD,"Elevate your knowledge with the newest technology, like SAS, Python, and R. Discover Big Data Analytics using Hadoop, Spark, and Kafka, business intelligence and visualization, deep learning, and more.

Apply appropriate techniques and tools to solve issues. Modify big data sets into actionable information. Obtain a good understanding of information technology and computer languages. Assess alternative approaches, manage projects, and interpret results of analysis.",https://dsu.edu/programs/msa/index.html
Elmhurst College, Online Center, M.S. in Data Science,DS,2014,"162 S. York, Elmhurst, IL 60126",-87.94004611,41.89692115,IL,"Make yourself indispensable in this rapidly growing field. Master predictive analysis, generating information from structured and unstructured data sets, then translating that information into actionable insights.

We take a comprehensive approach, integrating analytics and machine learning with business. This innovative curriculum gives you technical prowess in statistics, analytical methods and programming tools, while powering up your vital business skills. The result: a comprehensive foundation of knowledge so you can harness the information that mystifies others, creating real business value in any professional setting.",https://www.elmhurst.edu/academics/departments/computer-science-information-systems/programs/m-s-data-science/
George Mason University, Volgenau School of Engineering, M.S. in Data Analytics Engineering,DA,2014,"4400 University Dr, Fairfax, VA 22030-4444",-77.31080918,38.83498848,VA,"The MS in Data Analytics Engineering is a multidisciplinary degree program in the Volgenau School of Engineering, and is designed to provide students with an understanding of the technologies and methodologies necessary for data-driven decision-making. Students study topics such as data mining, information technology, statistical modeling, predictive analytics, optimization, risk analysis, and data visualization. It is aimed at students who wish to become data scientists and analysts in finance, marketing, operations, business/government intelligence and other information intensive groups generating and consuming large amounts of data.",https://catalog.gmu.edu/colleges-schools/engineering/data-analytics-engineering-ms/
Georgia Institute of Technology," Colleges of Engineering, Business and Computing",M.S. in Analytics,A,2014,"225 North Avenue, N.W., Atlanta, GA 30332",-84.39442863,33.7713685,GA,"The Master of Science in Analytics is an interdisciplinary analytics and data science program that leverages the strengths of Georgia Tech in statistics, operations research, computing, and business by combining the world-class expertise of the Scheller College of Business, the College of Computing, and the College of Engineering. By blending the strengths of these nationally ranked programs, graduates will learn to integrate skills in a unique and interdisciplinary way that yields deep insights into analytics problems.",https://www.analytics.gatech.edu/
Georgia State University, Robinson College of Business, M.S. in Data Science and Analytics (Formerly the M.S. in Analytics; renamed in 2021.),DS,2014,"33 Gilmer St SE, Atlanta, GA 30302-3083",-84.38492438,33.75313358,GA,"Robinson’s M.S. in Data Science and Analytics will empower you with the ability to make sense of huge amounts of unstructured data, draw actionable insights, and solve organizations’ problems. The program is nationally ranked. The program is STEM-designated, meaning you’ll graduate with not only business acumen but also skills in the areas of science, technology, engineering, and math. The coursework is rigorous, but don’t be intimidated; we offer three- to four-week math and programming foundation classes for students who need to get up-to-speed.

You will become comfortable with machine learning, deep learning, Python, and big data, and have the option to attend boot camps covering topics like SAS, Amazon Web Services, and Microsoft Azure. Robinson houses social media intelligence and legal analytics labs, as well as its own big data infrastructure cluster, where students complete hands-on assignments. Speaking of immersive learning, students access our partner companies’ proprietary data in order to solve complex, real-world issues as part of projects we call Insight Sprints. Our students accumulate relevant, impressive experience before they even graduate.",https://robinson.gsu.edu/program/data-science-and-analytics-ms/
Indiana University, Kelley School of Business, M.S. in Business Analytics,BA,2014,"107 S. Indiana Ave., Bloomington, IN 47405-7000",-86.52685362,39.16643831,IN,"With an MS in Business Analytics, you’ll be able to strategically position yourself as a brand analytics manager, e-commerce project manager, web metrics analyst, or a consultant to senior decision makers. You’ll be in demand as businesses around the world seek to leverage data to innovate and stay competitive. As one of the first top-ranked schools to offer an MS in Business Analytics, Kelley sets the pace in this field.",https://kelley.iu.edu/programs/online/ms-degrees/business-analytics/index.html?redirect=/programs/online/degrees/ms-business-analytics/index
Johns Hopkins University, Krieger School of Arts & Sciences, M.S. in Data Analytics and Policy (Formerly the M.S. in Government Analytics),DS,2014,"3400 N Charles St, Baltimore, MD 21218-2688",-76.61798542,39.32912842,MD,This cutting-edge program empowers students to tackle meaningful policy challenges using analytics. Students graduate with the expertise to be data-driven decisionmakers and policy leaders in both the public and private sector.,https://advanced.jhu.edu/academics/graduate/ms-data-analytics-policy/
Lewis University, College of Arts & Sciences, M.S. in Data Science,DS,2014,"One University Parkway, Romeoville, IL 60446-2200",-88.07818791,41.60539989,IL,"Lewis University's online Master of Science in Data Science degree is designed to provide you with the skills and concepts of data science as applied to a wide variety of fields such as the natural sciences, the social sciences, the humanities, healthcare, business and education. The online Data Science master's program provides you with skills needed to play a significant role in data mining, data visualization, predictive analytics and data management.",https://www.lewisu.edu/academics/data-science/index.htm
Lewis University, College of Business, M.S. in Business Analytics,BA,2014,"One University Parkway, Romeoville, IL 60446-2200",-88.07818791,41.60539989,IL,"The Bachelor of Science in Business Analytics degree will provide you with the perfect mix of business strategy and technological expertise required for informed decision-making in any organization.

Lewis' business analytics degree curriculum combines technical knowledge with managerial theory - providing students with a deep foundational understanding of topics such as business intelligence, data analysis, business data modeling , predictive modeling and business data warehousing - preparing you for a wide variety of career options.",https://www.lewisu.edu/academics/business-analytics/index.htm
Maryville University, College of Arts and Sciences, M.S. in Data Science (Formerly the M.S. in Applied Statistics and Data Analytics; renamed in 2017.),DS,2014,"650 Maryville University Drive, Saint Louis, MO 63141-7299",-90.5035978,38.64668319,MO,"Maryville University’s Master’s in Data Science program places an emphasis on hands-on experiential learning giving you the skills and knowledge to continue to recognize trends in complex data structures.

A real-world curriculum drawing upon the needs industry leaders, each graduate level course gives you the knowledge base to be technically proficient in using computer code languages to compile and synthesize data.

There are flexible completion options offered with evening courses to accommodate your work-life schedule.",https://www.maryville.edu/as/masters-in-data-science/
Quinnipiac University, School of Business, M.S. in Business Analytics,BA,2014,"275 Mount Carmel Ave, Hamden, CT 06518",-72.894078,41.418783,CT,"Big data continues to create new opportunities for businesses, and there is a growing demand for business intelligence professionals who can harness its strategic power. Our MS in Business Analytics program produces such data-driven leaders capable of storing, managing, analyzing and presenting data effectively to fuel better business decisions and facilitate major growth.

The program explores the practical qualitative and quantitative skills that serve as the foundation to sound decision making. Coursework is designed to deliver a number of in-demand skills that you can immediately apply to your current career, including data management, data warehousing, text and data mining, visualization and predictive modeling. The program culminates with an experiential capstone that challenges you to apply these skills to solve a business challenge of your choice.",https://www.qu.edu/schools/business/programs/online-masters-degree/business-analytics/
